Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,,,,,,,
,,,,,,,,,,,,,,,SP,Matthew Boyd (13117036),Matthew Boyd,13117036,P,11200,KC@DET 08/11/2019 01:10PM ET,DET,20.16,,,Zack Wheeler,Zack Wheeler (13117040)
,,,,,,,,,,,,,,,SP,Patrick Corbin (13117035),Patrick Corbin,13117035,P,11200,WAS@NYM 08/11/2019 01:10PM ET,WAS,20.92,,,Noah Syndergaard,Noah Syndergaard (13117041)
,,,,,,,,,,,,,,,SP,Luis Castillo (13116159),Luis Castillo,13116159,P,11000,CHC@CIN 08/11/2019 01:10PM ET,CIN,21.98,,,Mike Soroka,Mike Soroka (13117042)
,,,,,,,,,,,,,,,SP,Stephen Strasburg (13117037),Stephen Strasburg,13117037,P,11000,WAS@NYM 08/11/2019 01:10PM ET,WAS,21.29,,,Trevor Bauer,Trevor Bauer (13117044)
,,,,,,,,,,,,,,,SP,Mike Clevinger (13117038),Mike Clevinger,13117038,P,10800,CLE@MIN 08/11/2019 02:10PM ET,CLE,24.18,,,Jose Berrios,Jose Berrios (13116161)
,,,,,,,,,,,,,,,SP,Shane Bieber (13117039),Shane Bieber,13117039,P,10700,CLE@MIN 08/11/2019 02:10PM ET,CLE,23.48,,,Lance Lynn,Lance Lynn (13117043)
,,,,,,,,,,,,,,,SP,Lucas Giolito (13116160),Lucas Giolito,13116160,P,10600,OAK@CWS 08/11/2019 02:10PM ET,CWS,21.59,,,Frankie Montas,Frankie Montas (13117045)
,,,,,,,,,,,,,,,SP,Zack Wheeler (13117040),Zack Wheeler,13117040,P,10600,WAS@NYM 08/11/2019 01:10PM ET,NYM,18.86,,,Chris Sale,Chris Sale (13117047)
,,,,,,,,,,,,,,,SP,Noah Syndergaard (13117041),Noah Syndergaard,13117041,P,10500,WAS@NYM 08/11/2019 01:10PM ET,NYM,18.33,,,Eduardo Rodriguez,Eduardo Rodriguez (13117049)
,,,,,,,,,,,,,,,SP,Mike Soroka (13117042),Mike Soroka,13117042,P,10400,ATL@MIA 08/11/2019 01:10PM ET,ATL,18.14,,,Luis Severino,Luis Severino (13117046)
,,,,,,,,,,,,,,,SP,Trevor Bauer (13117044),Trevor Bauer,13117044,P,10200,CHC@CIN 08/11/2019 01:10PM ET,CIN,21.2,,,Caleb Smith,Caleb Smith (13117048)
,,,,,,,,,,,,,,,SP,Jose Berrios (13116161),Jose Berrios,13116161,P,10200,CLE@MIN 08/11/2019 02:10PM ET,MIN,19.1,,,Brandon Woodruff,Brandon Woodruff (13117050)
,,,,,,,,,,,,,,,SP,Lance Lynn (13117043),Lance Lynn,13117043,P,10200,TEX@MIL 08/11/2019 02:10PM ET,TEX,21.78,,,Forrest Whitley,Forrest Whitley (13117051)
,,,,,,,,,,,,,,,SP,Frankie Montas (13117045),Frankie Montas,13117045,P,10100,OAK@CWS 08/11/2019 02:10PM ET,OAK,21.03,,,Zack Greinke,Zack Greinke (13117052)
,,,,,,,,,,,,,,,SP,Chris Sale (13117047),Chris Sale,13117047,P,10000,LAA@BOS 08/11/2019 01:05PM ET,BOS,21.66,,,Domingo German,Domingo German (13117053)
,,,,,,,,,,,,,,,SP,Eduardo Rodriguez (13117049),Eduardo Rodriguez,13117049,P,10000,LAA@BOS 08/11/2019 01:05PM ET,BOS,17.36,,,Carlos Martinez,Carlos Martinez (13117054)
,,,,,,,,,,,,,,,SP,Luis Severino (13117046),Luis Severino,13117046,P,10000,NYY@TOR 08/11/2019 01:07PM ET,NYY,0,,,Mike Minor,Mike Minor (13116162)
,,,,,,,,,,,,,,,SP,Caleb Smith (13117048),Caleb Smith,13117048,P,10000,ATL@MIA 08/11/2019 01:10PM ET,MIA,18.1,,,Carlos Rodon,Carlos Rodon (13117056)
,,,,,,,,,,,,,,,SP,Brandon Woodruff (13117050),Brandon Woodruff,13117050,P,10000,TEX@MIL 08/11/2019 02:10PM ET,MIL,15.88,,,Jameson Taillon,Jameson Taillon (13117055)
,,,,,,,,,,,,,,,SP,Forrest Whitley (13117051),Forrest Whitley,13117051,P,9800,HOU@BAL 08/11/2019 01:05PM ET,HOU,0,,,Jesus Luzardo,Jesus Luzardo (13117057)
,,,,,,,,,,,,,,,SP,Zack Greinke (13117052),Zack Greinke,13117052,P,9800,HOU@BAL 08/11/2019 01:05PM ET,HOU,17.26,,,Corey Kluber,Corey Kluber (13117059)
,,,,,,,,,,,,,,,SP,Domingo German (13117053),Domingo German,13117053,P,9700,NYY@TOR 08/11/2019 01:07PM ET,NYY,18.31,,,Jack Flaherty,Jack Flaherty (13117058)
,,,,,,,,,,,,,,,SP,Carlos Martinez (13117054),Carlos Martinez,13117054,P,9700,PIT@STL 08/11/2019 02:15PM ET,STL,3.26,,,Michael Pineda,Michael Pineda (13117060)
,,,,,,,,,,,,,,,SP,Mike Minor (13116162),Mike Minor,13116162,P,9600,TEX@MIL 08/11/2019 02:10PM ET,TEX,19.33,,,Yu Darvish,Yu Darvish (13117062)
,,,,,,,,,,,,,,,SP,Carlos Rodon (13117056),Carlos Rodon,13117056,P,9500,OAK@CWS 08/11/2019 02:10PM ET,CWS,15.91,,,Kyle Hendricks,Kyle Hendricks (13117063)
,,,,,,,,,,,,,,,SP,Jameson Taillon (13117055),Jameson Taillon,13117055,P,9500,PIT@STL 08/11/2019 02:15PM ET,PIT,13.44,,,Luiz Gohara,Luiz Gohara (13117061)
,,,,,,,,,,,,,,,SP,Jesus Luzardo (13117057),Jesus Luzardo,13117057,P,9400,OAK@CWS 08/11/2019 02:10PM ET,OAK,0,,,Freddy Peralta,Freddy Peralta (13117065)
,,,,,,,,,,,,,,,SP,Corey Kluber (13117059),Corey Kluber,13117059,P,9400,CLE@MIN 08/11/2019 02:10PM ET,CLE,11.58,,,Alex Reyes,Alex Reyes (13117064)
,,,,,,,,,,,,,,,SP,Jack Flaherty (13117058),Jack Flaherty,13117058,P,9400,PIT@STL 08/11/2019 02:15PM ET,STL,15.33,,,Josh James,Josh James (13117067)
,,,,,,,,,,,,,,,SP,Michael Pineda (13117060),Michael Pineda,13117060,P,9300,CLE@MIN 08/11/2019 02:10PM ET,MIN,14.45,,,Chris Bassitt,Chris Bassitt (13116163)
,,,,,,,,,,,,,,,SP,Yu Darvish (13117062),Yu Darvish,13117062,P,9200,CHC@CIN 08/11/2019 01:10PM ET,CHC,16.64,,,Robert Stephenson,Robert Stephenson (13117066)
,,,,,,,,,,,,,,,SP,Kyle Hendricks (13117063),Kyle Hendricks,13117063,P,9200,CHC@CIN 08/11/2019 01:10PM ET,CHC,15.76,,,Cam Bedrosian,Cam Bedrosian (13117072)
,,,,,,,,,,,,,,,SP,Luiz Gohara (13117061),Luiz Gohara,13117061,P,9200,ATL@MIA 08/11/2019 01:10PM ET,ATL,0,,,Wade Miley,Wade Miley (13117069)
,,,,,,,,,,,,,,,SP,Freddy Peralta (13117065),Freddy Peralta,13117065,P,9200,TEX@MIL 08/11/2019 02:10PM ET,MIL,7.32,,,James Paxton,James Paxton (13117068)
,,,,,,,,,,,,,,,SP,Alex Reyes (13117064),Alex Reyes,13117064,P,9200,PIT@STL 08/11/2019 02:15PM ET,STL,-1.51,,,Michael Fulmer,Michael Fulmer (13117070)
,,,,,,,,,,,,,,,SP,Josh James (13117067),Josh James,13117067,P,9100,HOU@BAL 08/11/2019 01:05PM ET,HOU,5.01,,,Richard Lovelady,Richard Lovelady (13117073)
,,,,,,,,,,,,,,,SP,Chris Bassitt (13116163),Chris Bassitt,13116163,P,9100,OAK@CWS 08/11/2019 02:10PM ET,OAK,15.67,,,Carlos Carrasco,Carlos Carrasco (13117071)
,,,,,,,,,,,,,,,SP,Robert Stephenson (13117066),Robert Stephenson,13117066,P,9100,CHC@CIN 08/11/2019 01:10PM ET,CIN,4.05,,,Andrew Triggs,Andrew Triggs (13117074)
,,,,,,,,,,,,,,,SP,Cam Bedrosian (13117072),Cam Bedrosian,13117072,P,9000,LAA@BOS 08/11/2019 01:05PM ET,LAA,3.25,,,John Lamb,John Lamb (13117078)
,,,,,,,,,,,,,,,SP,Wade Miley (13117069),Wade Miley,13117069,P,9000,HOU@BAL 08/11/2019 01:05PM ET,HOU,16.61,,,Cole Hamels,Cole Hamels (13117077)
,,,,,,,,,,,,,,,SP,James Paxton (13117068),James Paxton,13117068,P,9000,NYY@TOR 08/11/2019 01:07PM ET,NYY,16.5,,,Julio Teheran,Julio Teheran (13117075)
,,,,,,,,,,,,,,,SP,Michael Fulmer (13117070),Michael Fulmer,13117070,P,9000,KC@DET 08/11/2019 01:10PM ET,DET,0,,,Jake Odorizzi,Jake Odorizzi (13117076)
,,,,,,,,,,,,,,,RP,Richard Lovelady (13117073),Richard Lovelady,13117073,P,9000,KC@DET 08/11/2019 01:10PM ET,KC,1.39,,,Dylan Cease,Dylan Cease (13117080)
,,,,,,,,,,,,,,,SP,Carlos Carrasco (13117071),Carlos Carrasco,13117071,P,9000,CLE@MIN 08/11/2019 02:10PM ET,CLE,16.8,,,Marcus Stroman,Marcus Stroman (13117079)
,,,,,,,,,,,,,,,SP,Andrew Triggs (13117074),Andrew Triggs,13117074,P,8900,OAK@CWS 08/11/2019 02:10PM ET,OAK,0,,,Lance McCullers Jr.,Lance McCullers Jr. (13117081)
,,,,,,,,,,,,,,,SP,John Lamb (13117078),John Lamb,13117078,P,8800,LAA@BOS 08/11/2019 01:05PM ET,LAA,0,,,Sonny Gray,Sonny Gray (13117082)
,,,,,,,,,,,,,,,SP,Cole Hamels (13117077),Cole Hamels,13117077,P,8800,CHC@CIN 08/11/2019 01:10PM ET,CHC,16.84,,,Brad Peacock,Brad Peacock (13117085)
,,,,,,,,,,,,,,,SP,Julio Teheran (13117075),Julio Teheran,13117075,P,8800,ATL@MIA 08/11/2019 01:10PM ET,ATL,14.99,,,Jordan Montgomery,Jordan Montgomery (13117084)
,,,,,,,,,,,,,,,SP,Jake Odorizzi (13117076),Jake Odorizzi,13117076,P,8800,CLE@MIN 08/11/2019 02:10PM ET,MIN,17.08,,,Bryse Wilson,Bryse Wilson (13117083)
,,,,,,,,,,,,,,,SP,Dylan Cease (13117080),Dylan Cease,13117080,P,8700,OAK@CWS 08/11/2019 02:10PM ET,CWS,12.18,,,Daniel Ponce de Leon,Daniel Ponce de Leon (13117086)
,,,,,,,,,,,,,,,SP,Marcus Stroman (13117079),Marcus Stroman,13117079,P,8700,WAS@NYM 08/11/2019 01:10PM ET,NYM,15.19,,,Jonathan Loaisiga,Jonathan Loaisiga (13117087)
,,,,,,,,,,,,,,,SP,Lance McCullers Jr. (13117081),Lance McCullers Jr.,13117081,P,8600,HOU@BAL 08/11/2019 01:05PM ET,HOU,0,,,Anibal Sanchez,Anibal Sanchez (13116164)
,,,,,,,,,,,,,,,SP,Sonny Gray (13117082),Sonny Gray,13117082,P,8600,CHC@CIN 08/11/2019 01:10PM ET,CIN,17.08,,,Lewis Thorpe,Lewis Thorpe (13117088)
,,,,,,,,,,,,,,,SP,Brad Peacock (13117085),Brad Peacock,13117085,P,8500,HOU@BAL 08/11/2019 01:05PM ET,HOU,14.91,,,Jharel Cotton,Jharel Cotton (13117090)
,,,,,,,,,,,,,,,SP,Jordan Montgomery (13117084),Jordan Montgomery,13117084,P,8500,NYY@TOR 08/11/2019 01:07PM ET,NYY,0,,,Matt Shoemaker,Matt Shoemaker (13117089)
,,,,,,,,,,,,,,,SP,Bryse Wilson (13117083),Bryse Wilson,13117083,P,8500,ATL@MIA 08/11/2019 01:10PM ET,ATL,6.16,,,Anthony DeSclafani,Anthony DeSclafani (13117092)
,,,,,,,,,,,,,,,SP,Daniel Ponce de Leon (13117086),Daniel Ponce de Leon,13117086,P,8500,PIT@STL 08/11/2019 02:15PM ET,STL,11.89,,,Cody Reed,Cody Reed (13117093)
,,,,,,,,,,,,,,,SP,Jonathan Loaisiga (13117087),Jonathan Loaisiga,13117087,P,8400,NYY@TOR 08/11/2019 01:07PM ET,NYY,8.72,,,Kevin Gausman,Kevin Gausman (13117094)
,,,,,,,,,,,,,,,SP,Anibal Sanchez (13116164),Anibal Sanchez,13116164,P,8400,WAS@NYM 08/11/2019 01:10PM ET,WAS,13.85,,,Josh Staumont,Josh Staumont (13117096)
,,,,,,,,,,,,,,,SP,Lewis Thorpe (13117088),Lewis Thorpe,13117088,P,8400,CLE@MIN 08/11/2019 02:10PM ET,MIN,7.98,,,Brent Suter,Brent Suter (13117091)
,,,,,,,,,,,,,,,SP,Jharel Cotton (13117090),Jharel Cotton,13117090,P,8300,OAK@CWS 08/11/2019 02:10PM ET,OAK,0,,,Austin Gomber,Austin Gomber (13117095)
,,,,,,,,,,,,,,,SP,Matt Shoemaker (13117089),Matt Shoemaker,13117089,P,8300,NYY@TOR 08/11/2019 01:07PM ET,TOR,19.78,,,David Price,David Price (13117102)
,,,,,,,,,,,,,,,SP,Anthony DeSclafani (13117092),Anthony DeSclafani,13117092,P,8300,CHC@CIN 08/11/2019 01:10PM ET,CIN,14.87,,,Tanner Roark,Tanner Roark (13117099)
,,,,,,,,,,,,,,,SP,Cody Reed (13117093),Cody Reed,13117093,P,8300,CHC@CIN 08/11/2019 01:10PM ET,CIN,7.35,,,Sean Manaea,Sean Manaea (13117101)
,,,,,,,,,,,,,,,SP,Kevin Gausman (13117094),Kevin Gausman,13117094,P,8300,CHC@CIN 08/11/2019 01:10PM ET,CIN,10.61,,,Jose Quintana,Jose Quintana (13117100)
,,,,,,,,,,,,,,,RP,Josh Staumont (13117096),Josh Staumont,13117096,P,8300,KC@DET 08/11/2019 01:10PM ET,KC,1.82,,,Joey Wentz,Joey Wentz (13117098)
,,,,,,,,,,,,,,,SP,Brent Suter (13117091),Brent Suter,13117091,P,8300,TEX@MIL 08/11/2019 02:10PM ET,MIL,0,,,Chris Flexen,Chris Flexen (13117103)
,,,,,,,,,,,,,,,RP,Austin Gomber (13117095),Austin Gomber,13117095,P,8300,PIT@STL 08/11/2019 02:15PM ET,STL,0,,,Chad Kuhl,Chad Kuhl (13117097)
,,,,,,,,,,,,,,,SP,David Price (13117102),David Price,13117102,P,8200,LAA@BOS 08/11/2019 01:05PM ET,BOS,15.7,,,Grant Holmes,Grant Holmes (13117106)
,,,,,,,,,,,,,,,SP,Tanner Roark (13117099),Tanner Roark,13117099,P,8200,OAK@CWS 08/11/2019 02:10PM ET,OAK,14.22,,,Stephen Tarpley,Stephen Tarpley (13117104)
,,,,,,,,,,,,,,,SP,Sean Manaea (13117101),Sean Manaea,13117101,P,8200,OAK@CWS 08/11/2019 02:10PM ET,OAK,0,,,Ian Anderson,Ian Anderson (13117105)
,,,,,,,,,,,,,,,SP,Jose Quintana (13117100),Jose Quintana,13117100,P,8200,CHC@CIN 08/11/2019 01:10PM ET,CHC,14.3,,,Travis Lakins,Travis Lakins (13117109)
,,,,,,,,,,,,,,,SP,Joey Wentz (13117098),Joey Wentz,13117098,P,8200,ATL@MIA 08/11/2019 01:10PM ET,ATL,0,,,Collin McHugh,Collin McHugh (13117111)
,,,,,,,,,,,,,,,SP,Chris Flexen (13117103),Chris Flexen,13117103,P,8200,WAS@NYM 08/11/2019 01:10PM ET,NYM,1.63,,,Brad Keller,Brad Keller (13117107)
,,,,,,,,,,,,,,,SP,Chad Kuhl (13117097),Chad Kuhl,13117097,P,8200,PIT@STL 08/11/2019 02:15PM ET,PIT,0,,,Spencer Turnbull,Spencer Turnbull (13117108)
,,,,,,,,,,,,,,,SP,Grant Holmes (13117106),Grant Holmes,13117106,P,8100,OAK@CWS 08/11/2019 02:10PM ET,OAK,0,,,Dallas Keuchel,Dallas Keuchel (13117110)
,,,,,,,,,,,,,,,SP,Stephen Tarpley (13117104),Stephen Tarpley,13117104,P,8100,NYY@TOR 08/11/2019 01:07PM ET,NYY,1.94,,,Miles Mikolas,Miles Mikolas (13116165)
,,,,,,,,,,,,,,,SP,Ian Anderson (13117105),Ian Anderson,13117105,P,8100,ATL@MIA 08/11/2019 01:10PM ET,ATL,0,,,Griffin Canning,Griffin Canning (13117112)
,,,,,,,,,,,,,,,SP,Travis Lakins (13117109),Travis Lakins,13117109,P,8000,LAA@BOS 08/11/2019 01:05PM ET,BOS,1.26,,,Jakob Junis,Jakob Junis (13116166)
,,,,,,,,,,,,,,,SP,Collin McHugh (13117111),Collin McHugh,13117111,P,8000,HOU@BAL 08/11/2019 01:05PM ET,HOU,6.32,,,Ryan Helsley,Ryan Helsley (13117113)
,,,,,,,,,,,,,,,SP,Brad Keller (13117107),Brad Keller,13117107,P,8000,KC@DET 08/11/2019 01:10PM ET,KC,13.06,,,Rogelio Armenteros,Rogelio Armenteros (13117116)
,,,,,,,,,,,,,,,SP,Spencer Turnbull (13117108),Spencer Turnbull,13117108,P,8000,KC@DET 08/11/2019 01:10PM ET,DET,12.88,,,Steven Matz,Steven Matz (13117117)
,,,,,,,,,,,,,,,SP,Dallas Keuchel (13117110),Dallas Keuchel,13117110,P,8000,ATL@MIA 08/11/2019 01:10PM ET,ATL,12.38,,,Kyle Gibson,Kyle Gibson (13117114)
,,,,,,,,,,,,,,,SP,Miles Mikolas (13116165),Miles Mikolas,13116165,P,8000,PIT@STL 08/11/2019 02:15PM ET,STL,13.36,,,Devin Smeltzer,Devin Smeltzer (13117118)
,,,,,,,,,,,,,,,SP,Griffin Canning (13117112),Griffin Canning,13117112,P,7900,LAA@BOS 08/11/2019 01:05PM ET,LAA,13.87,,,Adam Wainwright,Adam Wainwright (13117115)
,,,,,,,,,,,,,,,SP,Jakob Junis (13116166),Jakob Junis,13116166,P,7900,KC@DET 08/11/2019 01:10PM ET,KC,13.69,,,Mike Fiers,Mike Fiers (13117119)
,,,,,,,,,,,,,,,RP,Ryan Helsley (13117113),Ryan Helsley,13117113,P,7900,PIT@STL 08/11/2019 02:15PM ET,STL,5.14,,,Sean Reid-Foley,Sean Reid-Foley (13117123)
,,,,,,,,,,,,,,,SP,Rogelio Armenteros (13117116),Rogelio Armenteros,13117116,P,7800,HOU@BAL 08/11/2019 01:05PM ET,HOU,12.78,,,Lucas Sims,Lucas Sims (13117120)
,,,,,,,,,,,,,,,SP,Steven Matz (13117117),Steven Matz,13117117,P,7800,WAS@NYM 08/11/2019 01:10PM ET,NYM,10.94,,,Sean Newcomb,Sean Newcomb (13117126)
,,,,,,,,,,,,,,,SP,Kyle Gibson (13117114),Kyle Gibson,13117114,P,7800,CLE@MIN 08/11/2019 02:10PM ET,MIN,15.02,,,Anthony Kay,Anthony Kay (13117125)
,,,,,,,,,,,,,,,SP,Devin Smeltzer (13117118),Devin Smeltzer,13117118,P,7800,CLE@MIN 08/11/2019 02:10PM ET,MIN,13.17,,,Zach Plesac,Zach Plesac (13117122)
,,,,,,,,,,,,,,,SP,Adam Wainwright (13117115),Adam Wainwright,13117115,P,7800,PIT@STL 08/11/2019 02:15PM ET,STL,14.36,,,Jimmy Nelson,Jimmy Nelson (13117121)
,,,,,,,,,,,,,,,SP,Mike Fiers (13117119),Mike Fiers,13117119,P,7700,OAK@CWS 08/11/2019 02:10PM ET,OAK,15.12,,,Trey Supak,Trey Supak (13117124)
,,,,,,,,,,,,,,,SP,Sean Reid-Foley (13117123),Sean Reid-Foley,13117123,P,7700,NYY@TOR 08/11/2019 01:07PM ET,TOR,10.77,,,Andrew Heaney,Andrew Heaney (13117130)
,,,,,,,,,,,,,,,SP,Lucas Sims (13117120),Lucas Sims,13117120,P,7700,CHC@CIN 08/11/2019 01:10PM ET,CIN,7.85,,,Brian Johnson,Brian Johnson (13117133)
,,,,,,,,,,,,,,,SP,Sean Newcomb (13117126),Sean Newcomb,13117126,P,7700,ATL@MIA 08/11/2019 01:10PM ET,ATL,4.23,,,Trevor Stephan,Trevor Stephan (13117129)
,,,,,,,,,,,,,,,SP,Anthony Kay (13117125),Anthony Kay,13117125,P,7700,WAS@NYM 08/11/2019 01:10PM ET,NYM,0,,,Alex Wood,Alex Wood (13117128)
,,,,,,,,,,,,,,,SP,Zach Plesac (13117122),Zach Plesac,13117122,P,7700,CLE@MIN 08/11/2019 02:10PM ET,CLE,14.8,,,Danny Salazar,Danny Salazar (13117127)
,,,,,,,,,,,,,,,SP,Jimmy Nelson (13117121),Jimmy Nelson,13117121,P,7700,TEX@MIL 08/11/2019 02:10PM ET,MIL,3.92,,,Stephen Gonsalves,Stephen Gonsalves (13117131)
,,,,,,,,,,,,,,,SP,Trey Supak (13117124),Trey Supak,13117124,P,7700,TEX@MIL 08/11/2019 02:10PM ET,MIL,0,,,Trevor Williams,Trevor Williams (13117132)
,,,,,,,,,,,,,,,SP,Andrew Heaney (13117130),Andrew Heaney,13117130,P,7600,LAA@BOS 08/11/2019 01:05PM ET,LAA,13.52,,,Rick Porcello,Rick Porcello (13117138)
,,,,,,,,,,,,,,,SP,Brian Johnson (13117133),Brian Johnson,13117133,P,7600,LAA@BOS 08/11/2019 01:05PM ET,BOS,2.42,,,Mike Shawaryn,Mike Shawaryn (13117139)
,,,,,,,,,,,,,,,SP,Trevor Stephan (13117129),Trevor Stephan,13117129,P,7600,NYY@TOR 08/11/2019 01:07PM ET,NYY,0,,,Brandon Bielak,Brandon Bielak (13117136)
,,,,,,,,,,,,,,,SP,Alex Wood (13117128),Alex Wood,13117128,P,7600,CHC@CIN 08/11/2019 01:10PM ET,CIN,9.02,,,Jaime Garcia,Jaime Garcia (13117137)
,,,,,,,,,,,,,,,SP,Danny Salazar (13117127),Danny Salazar,13117127,P,7600,CLE@MIN 08/11/2019 02:10PM ET,CLE,4.8,,,Jordan Yamamoto,Jordan Yamamoto (13117135)
,,,,,,,,,,,,,,,SP,Stephen Gonsalves (13117131),Stephen Gonsalves,13117131,P,7600,CLE@MIN 08/11/2019 02:10PM ET,MIN,0,,,Chris Archer,Chris Archer (13117134)
,,,,,,,,,,,,,,,SP,Trevor Williams (13117132),Trevor Williams,13117132,P,7600,PIT@STL 08/11/2019 02:15PM ET,PIT,11.82,,,Steven Wright,Steven Wright (13117144)
,,,,,,,,,,,,,,,SP,Rick Porcello (13117138),Rick Porcello,13117138,P,7500,LAA@BOS 08/11/2019 01:05PM ET,BOS,11.26,,,Daniel Gossett,Daniel Gossett (13117143)
,,,,,,,,,,,,,,,RP,Mike Shawaryn (13117139),Mike Shawaryn,13117139,P,7500,LAA@BOS 08/11/2019 01:05PM ET,BOS,3.84,,,Luis Cessa,Luis Cessa (13117146)
,,,,,,,,,,,,,,,SP,Brandon Bielak (13117136),Brandon Bielak,13117136,P,7500,HOU@BAL 08/11/2019 01:05PM ET,HOU,0,,,Jon Lester,Jon Lester (13116167)
,,,,,,,,,,,,,,,SP,Jaime Garcia (13117137),Jaime Garcia,13117137,P,7500,CHC@CIN 08/11/2019 01:10PM ET,CHC,0,,,Danny Duffy,Danny Duffy (13117142)
,,,,,,,,,,,,,,,SP,Jordan Yamamoto (13117135),Jordan Yamamoto,13117135,P,7500,ATL@MIA 08/11/2019 01:10PM ET,MIA,14.63,,,Pablo Lopez,Pablo Lopez (13117140)
,,,,,,,,,,,,,,,SP,Chris Archer (13117134),Chris Archer,13117134,P,7500,PIT@STL 08/11/2019 02:15PM ET,PIT,14.26,,,Nick Neidert,Nick Neidert (13117141)
,,,,,,,,,,,,,,,SP,Steven Wright (13117144),Steven Wright,13117144,P,7400,LAA@BOS 08/11/2019 01:05PM ET,BOS,0.44,,,Drew Pomeranz,Drew Pomeranz (13117145)
,,,,,,,,,,,,,,,SP,Daniel Gossett (13117143),Daniel Gossett,13117143,P,7400,OAK@CWS 08/11/2019 02:10PM ET,OAK,0,,,Kodi Medeiros,Kodi Medeiros (13117153)
,,,,,,,,,,,,,,,RP,Luis Cessa (13117146),Luis Cessa,13117146,P,7400,NYY@TOR 08/11/2019 01:07PM ET,NYY,5.46,,,Ivan Nova,Ivan Nova (13117154)
,,,,,,,,,,,,,,,SP,Jon Lester (13116167),Jon Lester,13116167,P,7400,CHC@CIN 08/11/2019 01:10PM ET,CHC,14.37,,,Masahiro Tanaka,Masahiro Tanaka (13116168)
,,,,,,,,,,,,,,,SP,Danny Duffy (13117142),Danny Duffy,13117142,P,7400,KC@DET 08/11/2019 01:10PM ET,KC,12.64,,,Clay Buchholz,Clay Buchholz (13117150)
