Name,Salary,Team,Pos,Opp,Proj_FP
Paris Brown,3000,PITT,RB,CLEM,0.0
Angelo Priore,3000,PITT,RB,CLEM,0.0
Gavin Thomson,3000,PITT,WR,CLEM,3.2
Michael Smith,3000,PITT,WR,CLEM,0.0
Josh Junko,3000,PITT,WR,CLEM,0.0
Isaiah Stewart,3000,PITT,WR,CLEM,0.0
Aydin Henningham,3000,PITT,WR,CLEM,0.0
Luke DelGaudio,3000,PITT,WR,CLEM,0.0
Jake McConnachie,3000,PITT,WR,CLEM,0.0
Jake Cortes,3000,PITT,WR,CLEM,0.0
Henry Parrish,3000,MISS,RB,MISSST,2.6
Casey Kelly,3000,MISS,WR,MISSST,1.0
Hunter Helms,4500,CLEM,QB,PITT,5.2
Malik Washington,3000,NW,WR,MSU,2.2
Jo'quavious Marks,5100,MISSST,RB,MISS,12.8
Dillon Johnson,5800,MISSST,RB,MISS,10.8
Omni Wells,3000,MISSST,RB,MISS,0.0
J.J. Jernighan,3000,MISSST,RB,MISS,0.0
Justin Stolberg,4500,MISSST,QB,MISS,0.0
Jaden Walley,4900,MISSST,WR,MISS,11.8
Geor'quarius Spivey,3000,MISSST,WR,MISS,1.3
Kyziah Pruitt,3000,MISSST,WR,MISS,0.0
Caleb Ducking,3000,MISSST,WR,MISS,0.0
Trip Wilson,3000,MISSST,WR,MISS,0.0
Christian Ford,3000,MISSST,WR,MISS,0.0
Brad Cumbest,3000,MISSST,WR,MISS,1.2
Haze Greer,3000,MISSST,WR,MISS,0.0
Camp Tice,3000,MISSST,WR,MISS,0.0
Quinton Torbor,3000,MISSST,WR,MISS,0.0
Jordon Hoyer,3000,MISSST,WR,MISS,0.0
Bo Brooks,3000,MISSST,WR,MISS,0.0
Carson Banks,3000,MISSST,WR,MISS,0.0
Brodie King,3000,MISSST,WR,MISS,0.0
Kentrel Bullock,3000,MISS,RB,MISSST,0.0
Campbell Klein,3000,MISS,RB,MISSST,0.0
Urriah Shephard,3000,MISS,RB,MISSST,0.0
Dannis Jackson,3000,MISS,WR,MISSST,-0.4
Sellers Shy,3000,MISS,WR,MISSST,0.0
Jordan Jernigan,3000,MISS,WR,MISSST,0.0
Brice Johnson,3000,MISS,WR,MISSST,0.0
Nevin Wells,3000,MISS,WR,MISSST,0.0
Jared Farlow,3000,MISS,WR,MISSST,0.0
Jack White,3000,MISS,WR,MISSST,0.0
Jonathan Hess,3000,MISS,WR,MISSST,0.0
Owen Stayer,3000,MISS,WR,MISSST,0.0
Sam Murphey,3000,MISS,WR,MISSST,0.0
Jake Arthurs,3000,NW,RB,MSU,0.0
Jack Moses,3000,NW,WR,MSU,0.0
Hunter Welcing,3000,NW,WR,MSU,0.0
Connor Newhouse,3000,NW,RB,MSU,0.0
Carl Richardson,4500,NW,QB,MSU,0.0
Zac Krause,4500,NW,QB,MSU,0.0
Cam Porter,3000,NW,RB,MSU,2.0
Marcus Cisco,3000,NW,RB,MSU,0.6
Raymond Niro,3000,NW,RB,MSU,0.0
Preston Bacon,3000,NW,WR,MSU,0.0
Bryce Kirtz,3000,NW,WR,MSU,2.6
Will Lansbury,3000,NW,WR,MSU,0.0
Jack Kennedy,3000,NW,WR,MSU,0.0
Wayne Dennis,3000,NW,WR,MSU,0.0
Alex Oelsner,3000,NW,WR,MSU,0.0
Thomas Gordon,3000,NW,WR,MSU,0.0
Marshall Lang,3000,NW,WR,MSU,0.0
Grant Krieger,3000,ALA,WR,AUBURN,0.0
Joshua Lanier,3000,ALA,WR,AUBURN,0.0
Sam Reed,3000,ALA,WR,AUBURN,0.0
Bret Bolin,3000,ALA,WR,AUBURN,0.0
C.J. Williams,3000,ALA,WR,AUBURN,0.0
Shatarius Williams,3000,ALA,WR,AUBURN,0.0
Jonathan Bennett,3000,ALA,WR,AUBURN,0.0
Richard Hunt,3000,ALA,WR,AUBURN,0.0
Melvin Billingsley,3000,ALA,WR,AUBURN,0.0
