"Sport","Game_Type","Entry_Key","Entry","Contest_Key","Contest_Date_EST","Place","Points","Winnings_Non_Ticket","Winnings_Ticket","Contest_Entries","Entry_Fee","Prize_Pool","Places_Paid"
"MLB","Classic",1568430384,"MLB $100 Dime Time [Just $0.10!] (Early) (5/13)",74937840,"2019-08-10 15:07:00",824,79.5,"$0.00","$0.00",1189,"$0.10","$100.00",274
"MLB","Classic",1568430392,"MLB $100 Dime Time [Just $0.10!] (Early) (13/13)",74937840,"2019-08-10 15:07:00",834,78.6,"$0.00","$0.00",1189,"$0.10","$100.00",274
"MLB","Classic",1568430380,"MLB $100 Dime Time [Just $0.10!] (Early) (1/13)",74937840,"2019-08-10 15:07:00",859,77.6,"$0.00","$0.00",1189,"$0.10","$100.00",274
"MLB","Classic",1568430388,"MLB $100 Dime Time [Just $0.10!] (Early) (9/13)",74937840,"2019-08-10 15:07:00",1017,69.6,"$0.00","$0.00",1189,"$0.10","$100.00",274
"MLB","Classic",1568430389,"MLB $100 Dime Time [Just $0.10!] (Early) (10/13)",74937840,"2019-08-10 15:07:00",1017,69.6,"$0.00","$0.00",1189,"$0.10","$100.00",274
"MLB","Classic",1568430383,"MLB $100 Dime Time [Just $0.10!] (Early) (4/13)",74937840,"2019-08-10 15:07:00",1089,62.6,"$0.00","$0.00",1189,"$0.10","$100.00",274
"MLB","Classic",1568430391,"MLB $100 Dime Time [Just $0.10!] (Early) (12/13)",74937840,"2019-08-10 15:07:00",1089,62.6,"$0.00","$0.00",1189,"$0.10","$100.00",274
"MLB","Classic",1568430385,"MLB $100 Dime Time [Just $0.10!] (Early) (6/13)",74937840,"2019-08-10 15:07:00",1118,57.6,"$0.00","$0.00",1189,"$0.10","$100.00",274
"MLB","Classic",1567979002,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (3/3)",74879883,"2019-08-09 22:10:00",690,125.45,"$0.75","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1567978994,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (2/3)",74879883,"2019-08-09 22:10:00",1325,116.2,"$0.50","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1567978987,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (1/3)",74879883,"2019-08-09 22:10:00",6686,75.45,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1567278441,"MLB $200 Quarter Jukebox [Just $0.25!] (Night) (3/6)",74892086,"2019-08-08 21:45:00",145,100.9,"$0.40","$0.00",951,"$0.25","$200.00",200
"MLB","Classic",1567278443,"MLB $200 Quarter Jukebox [Just $0.25!] (Night) (5/6)",74892086,"2019-08-08 21:45:00",149,100.55,"$0.40","$0.00",951,"$0.25","$200.00",200
"MLB","Classic",1567278440,"MLB $200 Quarter Jukebox [Just $0.25!] (Night) (2/6)",74892086,"2019-08-08 21:45:00",249,91.9,"$0.00","$0.00",951,"$0.25","$200.00",200
"MLB","Classic",1567278442,"MLB $200 Quarter Jukebox [Just $0.25!] (Night) (4/6)",74892086,"2019-08-08 21:45:00",408,76.4,"$0.00","$0.00",951,"$0.25","$200.00",200
"MLB","Classic",1567278444,"MLB $200 Quarter Jukebox [Just $0.25!] (Night) (6/6)",74892086,"2019-08-08 21:45:00",898,34.2,"$0.00","$0.00",951,"$0.25","$200.00",200
"MLB","Classic",1567278439,"MLB $200 Quarter Jukebox [Just $0.25!] (Night) (1/6)",74892086,"2019-08-08 21:45:00",948,21.35,"$0.00","$0.00",951,"$0.25","$200.00",200
"MLB","Classic",1566226128,"MLB $6K Quarter Jukebox [Just $0.25!] (5/14)",74820096,"2019-08-07 18:40:00",3104,128.8,"$0.50","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1566226133,"MLB $6K Quarter Jukebox [Just $0.25!] (10/14)",74820096,"2019-08-07 18:40:00",3458,126.65,"$0.50","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1566226130,"MLB $6K Quarter Jukebox [Just $0.25!] (7/14)",74820096,"2019-08-07 18:40:00",5669,115.8,"$0.50","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1566226131,"MLB $6K Quarter Jukebox [Just $0.25!] (8/14)",74820096,"2019-08-07 18:40:00",7727,108.8,"$0.00","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1566226132,"MLB $6K Quarter Jukebox [Just $0.25!] (9/14)",74820096,"2019-08-07 18:40:00",8452,106.8,"$0.00","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1566226127,"MLB $6K Quarter Jukebox [Just $0.25!] (4/14)",74820096,"2019-08-07 18:40:00",10619,100.8,"$0.00","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1566226134,"MLB $6K Quarter Jukebox [Just $0.25!] (11/14)",74820096,"2019-08-07 18:40:00",12312,96.8,"$0.00","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1566226135,"MLB $6K Quarter Jukebox [Just $0.25!] (12/14)",74820096,"2019-08-07 18:40:00",13183,94.8,"$0.00","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1566226136,"MLB $6K Quarter Jukebox [Just $0.25!] (13/14)",74820096,"2019-08-07 18:40:00",14091,92.8,"$0.00","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1566226126,"MLB $6K Quarter Jukebox [Just $0.25!] (3/14)",74820096,"2019-08-07 18:40:00",15569,89.65,"$0.00","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1566226124,"MLB $6K Quarter Jukebox [Just $0.25!] (1/14)",74820096,"2019-08-07 18:40:00",21085,75.8,"$0.00","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1566226125,"MLB $6K Quarter Jukebox [Just $0.25!] (2/14)",74820096,"2019-08-07 18:40:00",21819,73.65,"$0.00","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1566226137,"MLB $6K Quarter Jukebox [Just $0.25!] (14/14)",74820096,"2019-08-07 18:40:00",23914,66.8,"$0.00","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1566226129,"MLB $6K Quarter Jukebox [Just $0.25!] (6/14)",74820096,"2019-08-07 18:40:00",26650,53.65,"$0.00","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1565404005,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (7/20)",74792827,"2019-08-06 21:40:00",362,141.9,"$1.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1565404009,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (11/20)",74792827,"2019-08-06 21:40:00",549,136.4,"$0.75","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1565404010,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (12/20)",74792827,"2019-08-06 21:40:00",1070,127.4,"$0.50","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1565404016,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (18/20)",74792827,"2019-08-06 21:40:00",1379,123.8,"$0.50","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1565403999,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (1/20)",74792827,"2019-08-06 21:40:00",1752,119.4,"$0.50","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1565404018,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (20/20)",74792827,"2019-08-06 21:40:00",2417,112.8,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1565404013,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (15/20)",74792827,"2019-08-06 21:40:00",2767,110.4,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1565404012,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (14/20)",74792827,"2019-08-06 21:40:00",3184,107.4,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1565404006,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (8/20)",74792827,"2019-08-06 21:40:00",3750,103.4,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1565404017,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (19/20)",74792827,"2019-08-06 21:40:00",4107,100.8,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1565404002,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (4/20)",74792827,"2019-08-06 21:40:00",4165,100.4,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1565404015,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (17/20)",74792827,"2019-08-06 21:40:00",4619,97.4,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1565404003,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (5/20)",74792827,"2019-08-06 21:40:00",4756,96.4,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1565404008,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (10/20)",74792827,"2019-08-06 21:40:00",4756,96.4,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1565404011,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (13/20)",74792827,"2019-08-06 21:40:00",4901,95.4,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1565404014,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (16/20)",74792827,"2019-08-06 21:40:00",5019,94.4,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1565404007,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (9/20)",74792827,"2019-08-06 21:40:00",6525,84.4,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1565404001,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (3/20)",74792827,"2019-08-06 21:40:00",7579,76.4,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1565404004,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (6/20)",74792827,"2019-08-06 21:40:00",7939,73.4,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1565404000,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (2/20)",74792827,"2019-08-06 21:40:00",8801,63.4,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1564541674,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (9/20)",74767454,"2019-08-05 21:40:00",107,152.3,"$1.25","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1564541681,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (16/20)",74767454,"2019-08-05 21:40:00",775,136,"$0.75","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1564541682,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (17/20)",74767454,"2019-08-05 21:40:00",878,134.85,"$0.75","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1564541672,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (7/20)",74767454,"2019-08-05 21:40:00",922,134.3,"$0.75","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1564541671,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (6/20)",74767454,"2019-08-05 21:40:00",2655,116.5,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1564541670,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (5/20)",74767454,"2019-08-05 21:40:00",3240,112.5,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1564541677,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (12/20)",74767454,"2019-08-05 21:40:00",3427,111.3,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1564541673,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (8/20)",74767454,"2019-08-05 21:40:00",4225,105.5,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1564541685,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (20/20)",74767454,"2019-08-05 21:40:00",5163,99.75,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1564541683,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (18/20)",74767454,"2019-08-05 21:40:00",5740,96,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1564541678,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (13/20)",74767454,"2019-08-05 21:40:00",6713,89.25,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1564541675,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (10/20)",74767454,"2019-08-05 21:40:00",7635,82.25,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1564541679,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (14/20)",74767454,"2019-08-05 21:40:00",7966,79.25,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1564541680,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (15/20)",74767454,"2019-08-05 21:40:00",8077,78.25,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1564541669,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (4/20)",74767454,"2019-08-05 21:40:00",8102,77.75,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1564541684,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (19/20)",74767454,"2019-08-05 21:40:00",8612,71.95,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1564541666,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (1/20)",74767454,"2019-08-05 21:40:00",9196,59.25,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1564541676,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (11/20)",74767454,"2019-08-05 21:40:00",9196,59.25,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1564541667,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (2/20)",74767454,"2019-08-05 21:40:00",9260,57.25,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1564541668,"MLB $2K Quarter Jukebox [Just $0.25!] (Night) (3/20)",74767454,"2019-08-05 21:40:00",9303,54.95,"$0.00","$0.00",9512,"$0.25","$2,000.00",2152
"MLB","Classic",1563577488,"MLB $6K Quarter Jukebox [Just $0.25!] (8/20)",74741362,"2019-08-04 13:05:00",233,166.75,"$1.00","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1563574382,"MLB $6K Quarter Jukebox [Just $0.25!] (4/20)",74741362,"2019-08-04 13:05:00",1283,148.75,"$0.75","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1563592436,"MLB $6K Quarter Jukebox [Just $0.25!] (17/20)",74741362,"2019-08-04 13:05:00",1530,146.75,"$0.75","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1563576201,"MLB $6K Quarter Jukebox [Just $0.25!] (6/20)",74741362,"2019-08-04 13:05:00",1914,143.75,"$0.75","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1563592143,"MLB $6K Quarter Jukebox [Just $0.25!] (16/20)",74741362,"2019-08-04 13:05:00",4007,132.75,"$0.50","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1563592978,"MLB $6K Quarter Jukebox [Just $0.25!] (18/20)",74741362,"2019-08-04 13:05:00",4007,132.75,"$0.50","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1563573442,"MLB $6K Quarter Jukebox [Just $0.25!] (3/20)",74741362,"2019-08-04 13:05:00",4142,132.25,"$0.50","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1563577186,"MLB $6K Quarter Jukebox [Just $0.25!] (7/20)",74741362,"2019-08-04 13:05:00",4224,131.75,"$0.50","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1563578033,"MLB $6K Quarter Jukebox [Just $0.25!] (9/20)",74741362,"2019-08-04 13:05:00",4784,129.75,"$0.50","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1563589748,"MLB $6K Quarter Jukebox [Just $0.25!] (12/20)",74741362,"2019-08-04 13:05:00",4784,129.75,"$0.50","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1563589999,"MLB $6K Quarter Jukebox [Just $0.25!] (13/20)",74741362,"2019-08-04 13:05:00",5934,125.75,"$0.50","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1563565122,"MLB $6K Quarter Jukebox [Just $0.25!] (1/20)",74741362,"2019-08-04 13:05:00",7277,121.75,"$0.00","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1563575295,"MLB $6K Quarter Jukebox [Just $0.25!] (5/20)",74741362,"2019-08-04 13:05:00",7647,120.75,"$0.00","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1563593830,"MLB $6K Quarter Jukebox [Just $0.25!] (20/20)",74741362,"2019-08-04 13:05:00",8723,117.75,"$0.00","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1563582890,"MLB $6K Quarter Jukebox [Just $0.25!] (11/20)",74741362,"2019-08-04 13:05:00",9856,114.75,"$0.00","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1563566305,"MLB $6K Quarter Jukebox [Just $0.25!] (2/20)",74741362,"2019-08-04 13:05:00",10213,113.75,"$0.00","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1563590641,"MLB $6K Quarter Jukebox [Just $0.25!] (14/20)",74741362,"2019-08-04 13:05:00",14130,103.75,"$0.00","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1563593467,"MLB $6K Quarter Jukebox [Just $0.25!] (19/20)",74741362,"2019-08-04 13:05:00",18901,91.75,"$0.00","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1563590981,"MLB $6K Quarter Jukebox [Just $0.25!] (15/20)",74741362,"2019-08-04 13:05:00",21320,84.75,"$0.00","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1563581335,"MLB $6K Quarter Jukebox [Just $0.25!] (10/20)",74741362,"2019-08-04 13:05:00",21961,82.75,"$0.00","$0.00",28537,"$0.25","$6,000.00",6300
"MLB","Classic",1511881997,"Second",73114806,"2019-05-29 19:05:00",74,92.05,"$0.00","$0.00",140,"$0.00","$0.00",0
"MLB","Classic",1511881838,"MLB FREE 50-Player",73116657,"2019-05-29 19:05:00",12,108.25,"$0.00","$0.00",50,"$0.00","$0.00",0
"MLB","Classic",1511879816,"MLB FREE 200-Player",73119114,"2019-05-29 19:05:00",13,100.05,"$0.00","$0.00",32,"$0.00","$0.00",0
"MLB","Classic",1511923316,"MLB FREE 150-Player",73119618,"2019-05-29 19:05:00",22,60.05,"$0.00","$0.00",26,"$0.00","$0.00",0
"MLB","Classic",1511932833,"MLB FREE 100-Player",73119641,"2019-05-29 19:05:00",44,66.55,"$0.00","$0.00",54,"$0.00","$0.00",0
